ff13e03bb57bf9c52645f2f942afa28b,BSD-3-Clause
5d4950ecb7b26d2c5e4e7b4e0dd74707,BSD-3-Clause
a2be13cb34e811436f5388f0a19cc0b0,Apache-2.0
972991aa9b859ea637c82bac9192a149,MIT
941ee9cd1609382f946352712a319b4b,MIT
45a47c50f5b33ff9ab3347c7db1bfb6a,MIT
489200b65f13bcbcb890a96b99a58a6f,BSD-3-Clause
bdc234595bc2fe370918f5de5077c8e9,BSD-3-Clause
34400b68072d710fecd0a2940a0d1658,Apache-2.0
0d0738f37ee8dc0b5f88a32e83c60198,MIT
73a9fd187cdcda4e3009f73e69b5b348,BSD-3-Clause
011d5eef39494cc16bc0b1848fe42759,MIT
58c9cc66b373489621bc178f9cf39564,BSD-3-Clause
71d73ee3b01fb1fe8499f3da2593ecc7,BSD-3-Clause
3b83ef96387f14655fc854ddc3c6bd57,Apache-2.0
19cbd64715b51267a47bf3750cc6a8a5,Apache-2.0
93958070863d769117fa33b129020050,MIT
7e05df0b39896d74600ef94ab46dce89,BSD-3-Clause
c06795ed54b2a35ebeeb543cd3a73e56,ISC
d2794c0df5b907fdace235a619d80314,Apache-2.0
3cafd141825e7a44b1c6a047b2320012,MIT
9740d093a080530b5c5c6573df9af45a,Apache-2.0
5f28a5a15a6bde800864f444aee95768,MIT
2ebc1c12a0f4eae5394522e31961e1de,MIT
fedf3d71a271b921fbaa2734cfbed74c,BSD-2-Clause & MIT
96ae735ca1b4dcdb6b26f4ca4b8ba645,BSD-3-Clause
8bae8b116e2cfd723492b02d9a212fe2,BSD-3-Clause
827f5a2fa861382d35a3943adf9ebb86,MIT
05779e437ec35570aca43cc66a95e056,MIT
0945febef83436030e30c73ea9980b42,MIT
09042bd5c6c96a2b9e45ddf1bc517eed,BSD-2-Clause
13cea479df204c85485b5db6eb1bc9d5,BSD-3-Clause
7b6086dcb6977f0ca57a7c47167999e7,Apache-2.0
cd19105b8dee6a326c424d3112aaedd6,Apache-2.0
